word,Codes
normaloid,CoH
normaloids,CoH
normiebook,CoH
normiedom,CoH
normieland,CoH
normo,CoH
normoid,CoH
normoids,CoH
normscum,CoH
normshit,CoH
normshits,CoH
normtard,CoH
normtards,CoH
normtroopers,CoH
normy,CoH
nwalt,CoH
reeee,CoH
reeeee,CoH
reeeeeeeeeeeeeeeeeeeee,CoH
reeeeeeeeeeeeeeeeeeeeeeeeeee,CoH
reeeeeing,CoH
reeeeing,CoH
wagecuck,CoH
wagecucking,CoH
wagecucks,CoH
wageslave,CoH
wageslaves,CoH
wageslaving,CoH
wagie,CoH
alphadestiny,CoM
alphafux,CoM
alphaness,CoM
amalt,CoM
asianmasculinity,CoM
babebux,CoM
betabux,CoM
betabuxing,CoM
betabuxxes,CoM
betabuxxing,CoM
betafag,CoM
betafied,CoM
betamale,CoM
betamales,CoM
betaness,CoM
bitchboy,CoM
broscience,CoM
bugman,CoM
bugmen,CoM
bukake,CoM
buxed,CoM
buxes,CoM
buxx,CoM
buxxed,CoM
chadbro,CoM
chadcels,CoM
chadcock,CoM
chaddam,CoM
chaddams,CoM
chadded,CoM
chadder,CoM
chaddest,CoM
chaddier,CoM
chaddiest,CoM
chadding,CoM
chaddington,CoM
chadhood,CoM
chadlet,CoM
chadlight,CoM
chadlike,CoM
chadlite,CoM
chadlites,CoM
chadly,CoM
chadness,CoM
chadstralia,CoM
chadullah,CoM
christcucks,CoM
chuds,CoM
cuckada,CoM
cuckage,CoM
cuckboi,CoM
cuckbook,CoM
cuckboys,CoM
cuckcel,CoM
cuckdom,CoM
cuckening,CoM
cucker,CoM
cuckery,CoM
cuckface,CoM
cuckfest,CoM
cuckfestus,CoM
cuckiest,CoM
cuckifornia,CoM
cuckin,CoM
cuckington,CoM
cuckish,CoM
cuckism,CoM
cuckistan,CoM
cuckit,CoM
cuckland,CoM
cucklord,CoM
cucklords,CoM
cucknada,CoM
cuckness,CoM
cuckoldery,CoM
cucks,CoM
cucktear,CoM
cucktears,CoM
cucky,CoM
cux,CoM
fakecel,CoM
fakecels,CoM
femboy,CoM
femboys,CoM
gentlesir,CoM
gigacuck,CoM
knightery,CoM
kunfidence,CoM
madlad,CoM
madlads,CoM
maginas,CoM
manginas,CoM
megachad,CoM
mlady,CoM
neomasculinity,CoM
nonchad,CoM
nonchads,CoM
normalfag,CoM
normalfags,CoM
normcuck,CoM
normcucks,CoM
numale,CoM
poolboy,CoM
reviewbrah,CoM
simpathy,CoM
simped,CoM
simpery,CoM
simphood,CoM
simpiest,CoM
simpin,CoM
simping,CoM
simpish,CoM
simpness,CoM
soiboi,CoM
soibois,CoM
soyboi,CoM
soyboy,CoM
soyboys,CoM
soyface,Com
soyim,CoM
soys,CoM
subchad,CoM
superchad,CoM
terachad,CoM
terrachad,CoM
turbochad,CoM
turbomanlets,CoM
uberchad,CoM
ultracock,CoM
uncuck,CoM
uncucked,CoM
whiteknighted,CoM
whiteknighting,CoM
whitenights,CoM
amog,CoM 
amoging,CoM 
amogs,CoM 
askcucks,CoM 
chadpreet,CoM 
chadpreets,CoM 
chadriguez,CoM 
chadrone,CoM 
changlite,CoM 
chinmogs,CoM 
cuckqueers,CoM 
cuckservative,CoM 
cuckservatives,CoM 
gigachang,CoM 
libcuck,CoM 
aloners,DEP
oneitis,DEP
oneitus,DEP
onenitis,DEP
onision,DEP
onitis,DEP
permavirgin,DEP
relationshit,DEP
relationshits,DEP
sadboy,DEP
sadcringe,DEP
sexlessness,DEP
womanless,DEP
faers,DEP 
foreveraloners,DEP 
handholdless,DEP 
himtoo,DEP 
hugless,DEP 
iwh,DEP 
khhv,DEP 
khv,DEP 
kissless,DEP 
loserdom,DEP 
loveshy,DEP 
subhumanity,DEP 
talkless,DEP 
tfler,DEP 
tflers,DEP 
tressless,DEP 
waifuism,DEP 
wifu,DEP 
adalt,DET
agepill,DET
alwalt,DET
awalt,DET
blackpill,DET
blackpilled,DET
blackpilling,DET
blackpills,DET
bluepill,DET
bluepilled,DET
bluepilling,DET
bluepills,DET
bper,DET
briffaults,DET
copulin,DET
copulins,DET
cursedcel,DET
femceldom,DET
hypergamic,DET
hypergamists,DET
hypergamous,DET
hypergamously,DET
hypoagency,DET
inceldom,DET
incelhalla,DET
incelhood,DET
incelibacy,DET
incelibate,DET
incelish,DET
incelly,DET
incelness,DET
maledom,DET
nonincel,DET
pillers,DET
pinkpill,DET
pinkpilled,DET
purplepill,DET
racepill,DET
redpill,DET
redpilled,DET
redpillers,DET
redpilling,DET
redpills,DET
redpillwoman,DET
redpillwomen,DET
thebluepill,DET
theredpill,DET
truthpill,DET
volcel,DET
volceldom,DET
volcels,DET
whitepill,DET
dysgenic,DET   
dysgenics,DET   
afalt,DoW
afterthot,DoW
americunt,DoW
beckies,DoW
beckys,DoW
biocunt,DoW
biocunts,DoW
bitchmade,DoW
bitchute,DoW
boobily,DoW
boredfemoid,DoW
branchers,DoW
branchswing,DoW
butterfaces,DoW
camwhores,DoW
camwhoring,DoW
carouseling,DoW
chadsexuals,DoW
chimping,DoW
crotchfruit,DoW
cuckquean,DoW
cuntery,DoW
cuntfused,DoW
currywhore,DoW
damseling,DoW
ewalt,DoW
fakerape,DoW
fakeup,DoW
feeeemale,DoW
feeeemales,DoW
feeemale,DoW
feefees,DoW
femails,DoW
femaloid,DoW
femaloids,DoW
femanoid,DoW
femanon,DoW
femiod,DoW
femorrhoid,DoW
femorrhoids,DoW
foids,DoW
goblina,DoW
gynos,DoW
hambeast,DoW
hambeasts,DoW
hampstering,DoW
hamstered,DoW
hamstering,DoW
hogbeast,DoW
hoors,DoW
kunts,DoW
landwhale,DoW
landwhales,DoW
milkies,DoW
moid,DoW
monkeybranch,DoW
monkeybranched,DoW
muffington,DoW
noodlewhore,DoW
ovulators,DoW
postwall,DoW
ricewhore,DoW
ridingchad,DoW
roastflaps,DoW
roastie,DoW
roastlet,DoW
roastlets,DoW
stacylites,DoW
whaman,DoW
whamen,DoW
whamyn,DoW
womanese,DoW
wurstie,DoW
wursties,DoW
pawgs,DoW 
awalts,DoW
dependas,FR
divorcerape,FR
ghow,FR
gmow,FR
goow,FR
gyow,FR
husbank,FR
mgtoe,FR
mgtowed,FR
mgtowing,FR
mgtowism,FR
mgtowlifestyle,FR
mgtowmusic,FR
mgtowness,FR
mgtowtherapy,FR
mstow,FR
norwooding,FR
orbitor,FR
orbitors,FR
orbitter,FR
orbitters,FR
orbitting,FR
pussypass,FR
pussypassdenied,FR
pussypasses,FR
pussywhipped,FR
shittesting,FR
shittests,FR
spermjack,FR
spermjacked,FR
spermjacking,FR
gtow,FR 
vaginamony,FR 
girlfiend,FR  
acnecel,LOA
acnecels,LOA
altrightcel,LOA
amiugly,LOA
maxxed,LOA
moger,LOA
mogged,LOA
mogger,LOA
mogging,LOA
moggs,LOA
moneymaxxed,LOA - CLASS
thugmax,LOA
